This is the updated measurement:
goos: linux
goarch: amd64
pkg: gonum.org/v1/gonum/mathext
cpu: AMD Ryzen 9 5900X 12-Core Processor
BenchmarkLi2Heatmap/grid/re[55:66]_im[33:44]       	    6552	      9212 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[33:44]       	    7070	      8488 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[33:44]       	    7248	      8316 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[33:44]       	    6793	      8916 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[33:44]      	    6481	      9331 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[33:44]     	    6270	      9051 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[33:44]     	    5935	      9114 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[33:44]     	    6441	      9219 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[33:44]     	    6523	      9116 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[33:44]     	   10000	      5715 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[44:55]        	    6678	      8912 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[44:55]       	    6764	      8927 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[44:55]       	    6669	      8974 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[44:55]       	    6566	      9131 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[44:55]       	    6812	      8790 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[44:55]       	    9174	      6451 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[44:55]       	   10000	      5779 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[44:55]       	   10000	      5797 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[44:55]       	   10000	      5846 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[44:55]      	    7486	      8036 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[44:55]     	    7344	      8052 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[44:55]     	    7280	      8272 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[44:55]     	    7032	      8482 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[44:55]     	    6625	      8913 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[44:55]     	   10000	      5722 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[55:66]        	    6652	      8906 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[55:66]       	    6712	      8903 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[55:66]       	    6722	      8917 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[55:66]       	    6693	      8883 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[55:66]       	    9176	      6460 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[55:66]       	   10000	      5777 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[55:66]       	   10000	      5781 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[55:66]       	   10000	      5778 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[55:66]       	   10000	      5830 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[55:66]      	    7681	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[55:66]     	    7512	      8015 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[55:66]     	    7174	      8305 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[55:66]     	    7152	      8382 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[55:66]     	    7204	      8235 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[55:66]     	   10000	      5607 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[66:77]        	    6732	      8849 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[66:77]       	    6800	      8844 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[66:77]       	    6688	      8872 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[66:77]       	    7237	      8286 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[66:77]       	   10000	      5719 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[66:77]       	   10000	      5749 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[66:77]       	   10000	      5751 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[66:77]       	   10000	      5753 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[66:77]       	   10000	      5766 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[66:77]      	    7839	      7551 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[66:77]     	    7292	      8068 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[66:77]     	    7158	      8289 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[66:77]     	    7393	      8044 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[66:77]     	    7695	      7741 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[66:77]     	   10000	      5135 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[77:88]        	    7062	      8387 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[77:88]       	    7143	      8391 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[77:88]       	    7119	      8398 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[77:88]       	    7819	      7632 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[77:88]       	   10000	      5444 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[77:88]       	   10000	      5492 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[77:88]       	   10000	      5547 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[77:88]       	   10000	      5493 ns/op	       0 B/op	       0 allocs/op
